Type,Title,Price,Location,Beds,Baths,Area,Date
House,Bungalow For Sale 1000 Square Yards In DHA Phase 6,27.5 Crore,"DHA Phase 6, DHA Defence",6,7,"1,000 Sq. Yd.",Added: 23 minutes ago
House,Bungalow For Sale 500 Square Yards In DHA Phase 8,14.5 Crore,"DHA Phase 8, DHA Defence",5,6,500 Sq. Yd.,Added: 23 minutes ago
House,Bungalow For Sale 2 Unit 1000 Square Yards In DHA Phase 8 Zone A,26 Crore,"DHA Phase 8 - Zone A, DHA Phase 8",8,7,"1,000 Sq. Yd.",Added: 25 minutes ago
House,Bungalow For Sale 2 unit 1000 Square Yards In DHA Phase 8,24 Crore,"DHA Phase 8, DHA Defence",6,6,"1,000 Sq. Yd.",Added: 25 minutes ago
House,Bungalow For Sale 640 Square Yards In DHA Phase 1,10.5 Crore,"DHA Phase 1, DHA Defence",6,6,640 Sq. Yd.,Added: 25 minutes ago
House,350sq Yd 4Bed DDL Sports Villas With 100sq Yd Back-Yard LAWN At LOWEST RATE Of MARKET,1.65 Crore,"Bahria Sports City, Bahria Town Karachi",4,4,350 Sq. Yd.,Added: 2 days ago
House,500 Yards Well-Maintained Bungalow For Sale DHA Phase 5 Karachi,11 Crore,"DHA Phase 5, DHA Defence",4,5,500 Sq. Yd.,Added: 2 days ago
House,Build Your Dream Home With ZAMEEN VILLAS In Bahria Town Karachi With Easy 12 & 24 Month Installments,1.1 Crore,"Bahria Town Karachi, Karachi",3,3,125 Sq. Yd.,Added: 2 days ago
House,350sq yd 4Bed DDL Sports Villas with 100sq yd BackYard LAWN at LOWEST RATE of MARKET,1.75 Crore,"Bahria Sports City, Bahria Town Karachi",4,4,350 Sq. Yd.,Added: 2 days ago
House,125Sq Yard West Open Villa Available For sale,1.25 Crore,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3,3,125 Sq. Yd.,Added: 2 days ago
House,LUXURIOUS Brand New 120 Sqr-Yds G+1 West Open 30 Fit Wide Road House Available For Sale In Sector R Gulshan-e-Maymar Karachi,2.15 Crore,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4,5,120 Sq. Yd.,Added: 12 hours ago
House,120 Yards House Available For Sale / 40ft Road / West Open,3.35 Crore,"Pilibhit, Gulzar-e-Hijri",4,4,120 Sq. Yd.,Added: 16 hours ago
House,"P12, 125 Sq Yard LUXURY VILLA FOR SALE IN ALI BLOCK Bahria town karachi A-PLUS Construction",1.29 Crore,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3,4,125 Sq. Yd.,Added: 17 hours ago
House,NORTH NAZIMABAD BLOCK D West Open Old But Can Be Renovated House For Sale Sweet Water G+2.5,4.3 Crore,"North Nazimabad - Block D, North Nazimabad",10,6,233 Sq. Yd.,Added: 18 hours ago
House,Bungalow For Sale Proper 2 Unit Bungalow With Basement,18 Crore,"DHA Phase 8, DHA Defence",3,4,500 Sq. Yd.,Added: 19 hours ago
House,Bungalow For Sale 1000 Square Yards In DHA Phase 5,20 Crore,"DHA Phase 5, DHA Defence",8,7,"1,000 Sq. Yd.",Added: 23 minutes ago
House,House For Sale 127 Square Yards In Phase 1 DHA,3.49 Crore,"DHA Phase 1, DHA Defence",6,3,127 Sq. Yd.,Added: 25 minutes ago
House,Direct Owner Meeting Well Maintained House,5.5 Crore,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",4,5,400 Sq. Yd.,Added: 3 hours ago
House,Direct Owner Meeting Well Maintained House,5.75 Crore,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",4,6,400 Sq. Yd.,Added: 3 hours ago
House,Direct Owner Meeting Well Maintained House,8 Crore,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",8,6,400 Sq. Yd.,Added: 3 hours ago
House,Direct Owner Meeting Well Maintained House,4.5 Crore,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",6,6,240 Sq. Yd.,Added: 3 hours ago
House,Direct Owner Meeting Well Maintained House,8.5 Crore,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",8,6,400 Sq. Yd.,Added: 3 hours ago
House,350 Square Yards House For Sale In NHS Zamzama Park Facing,23 Crore,"Navy Housing Scheme Zamzama, Zamzama",5,6,350 Sq. Yd.,Added: 25 minutes ago
House,Luxurious Bungalow For Sale,10.5 Crore,"DHA Phase 6, DHA Defence",6,7,500 Sq. Yd.,Added: 26 minutes ago
House,"Townhouse for Sale at Bath Island, Gulshan-e-Faisal",9 Crore,"Bath Island, Karachi",4,4,210 Sq. Yd.,Added: 26 minutes ago
